accuracy,balanced_accuracy,precision,recall,f1,confusion_matrix,held_out_date,model,n_test,labels,granularity
0.25,0.5,0.25,1.0,0.4,"[[0, 6], [0, 2]]",2026-09-24,random_forest,8,shuffled_3,session
0.6729166666666667,0.4930555555555555,0.2318840579710145,0.13333333333333333,0.1693121693121693,"[[307, 53], [104, 16]]",2026-09-24,cnn_lstm,480,shuffled_3,window
0.75,0.5,0.0,0.0,0.0,"[[6, 0], [2, 0]]",2026-09-24,cnn_lstm,8,shuffled_3,session
0.3537037037037037,0.5,0.3333333333333333,0.9388888888888889,0.49199417758369723,"[[22, 338], [11, 169]]",2026-09-15,svm,540,shuffled_4,window
0.3333333333333333,0.5,0.3333333333333333,1.0,0.5,"[[0, 6], [0, 3]]",2026-09-15,svm,9,shuffled_4,session
0.3907407407407407,0.5236111111111111,0.34511434511434513,0.9222222222222223,0.5022692889561271,"[[45, 315], [14, 166]]",2026-09-15,random_forest,540,shuffled_4,window
0.3333333333333333,0.5,0.3333333333333333,1.0,0.5,"[[0, 6], [0, 3]]",2026-09-15,random_forest,9,shuffled_4,session
0.4203703703703704,0.5263888888888889,0.34782608695652173,0.8444444444444444,0.49270664505672607,"[[75, 285], [28, 152]]",2026-09-15,cnn_lstm,540,shuffled_4,window
0.3333333333333333,0.5,0.3333333333333333,1.0,0.5,"[[0, 6], [0, 3]]",2026-09-15,cnn_lstm,9,shuffled_4,session
0.34814814814814815,0.5069444444444444,0.7857142857142857,0.030555555555555555,0.058823529411764705,"[[177, 3], [349, 11]]",2026-09-16,svm,540,shuffled_4,window
0.3333333333333333,0.5,0.0,0.0,0.0,"[[3, 0], [6, 0]]",2026-09-16,svm,9,shuffled_4,session
0.34629629629629627,0.5069444444444444,0.8181818181818182,0.025,0.04851752021563342,"[[178, 2], [351, 9]]",2026-09-16,random_forest,540,shuffled_4,window
0.3333333333333333,0.5,0.0,0.0,0.0,"[[3, 0], [6, 0]]",2026-09-16,random_forest,9,shuffled_4,session
0.40370370370370373,0.5277777777777778,0.7567567567567568,0.15555555555555556,0.25806451612903225,"[[162, 18], [304, 56]]",2026-09-16,cnn_lstm,540,shuffled_4,window
0.3333333333333333,0.5,0.0,0.0,0.0,"[[3, 0], [6, 0]]",2026-09-16,cnn_lstm,9,shuffled_4,session
0.54,0.4986111111111111,0.3977272727272727,0.2916666666666667,0.33653846153846156,"[[127, 53], [85, 35]]",2026-09-17,svm,300,shuffled_4,window
0.4,0.3333333333333333,0.0,0.0,0.0,"[[2, 1], [2, 0]]",2026-09-17,svm,5,shuffled_4,session
0.5433333333333333,0.49583333333333335,0.3924050632911392,0.25833333333333336,0.31155778894472363,"[[132, 48], [89, 31]]",2026-09-17,random_forest,300,shuffled_4,window
0.6,0.5,0.0,0.0,0.0,"[[3, 0], [2, 0]]",2026-09-17,random_forest,5,shuffled_4,session
0.6033333333333334,0.5638888888888889,0.5057471264367817,0.36666666666666664,0.4251207729468599,"[[137, 43], [76, 44]]",2026-09-17,cnn_lstm,300,shuffled_4,window
0.6,0.5,0.0,0.0,0.0,"[[3, 0], [2, 0]]",2026-09-17,cnn_lstm,5,shuffled_4,session
0.4777777777777778,0.47777777777777775,0.48,0.5333333333333333,0.5052631578947369,"[[76, 104], [84, 96]]",2026-09-21,svm,360,shuffled_4,window
