held_out_date,session_dir,person_id,model,k_windows,elapsed_s,correct
2026-09-15,authorized/2026-09-15/20260915_154548_barath,barath,cnn_attention,200,117.845529,1
2026-09-15,authorized/2026-09-15/20260915_154548_barath,barath,ensemble,200,117.845529,0
2026-09-15,authorized/2026-09-15/20260915_154548_barath,barath,svm,300,170.04492,0
2026-09-15,authorized/2026-09-15/20260915_154548_barath,barath,random_forest,300,170.04492,1
2026-09-15,authorized/2026-09-15/20260915_154548_barath,barath,hist_gradient_boost,300,170.04492,0
2026-09-15,authorized/2026-09-15/20260915_154548_barath,barath,cnn_bilstm,300,170.04492,1
2026-09-15,authorized/2026-09-15/20260915_154548_barath,barath,cnn_attention,300,170.04492,1
2026-09-15,authorized/2026-09-15/20260915_154548_barath,barath,ensemble,300,170.04492,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,svm,10,4.78401,0
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,random_forest,10,4.78401,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,hist_gradient_boost,10,4.78401,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,cnn_bilstm,10,4.78401,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,cnn_attention,10,4.78401,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,ensemble,10,4.78401,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,svm,30,14.313274,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,random_forest,30,14.313274,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,hist_gradient_boost,30,14.313274,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,cnn_bilstm,30,14.313274,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,cnn_attention,30,14.313274,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,ensemble,30,14.313274,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,svm,45,20.991574,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,random_forest,45,20.991574,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,hist_gradient_boost,45,20.991574,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,cnn_bilstm,45,20.991574,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,cnn_attention,45,20.991574,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,ensemble,45,20.991574,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,svm,60,28.768437,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,random_forest,60,28.768437,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,hist_gradient_boost,60,28.768437,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,cnn_bilstm,60,28.768437,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,cnn_attention,60,28.768437,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,ensemble,60,28.768437,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,svm,90,45.319742,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,random_forest,90,45.319742,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,hist_gradient_boost,90,45.319742,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,cnn_bilstm,90,45.319742,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,cnn_attention,90,45.319742,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,ensemble,90,45.319742,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,svm,120,66.55239,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,random_forest,120,66.55239,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,hist_gradient_boost,120,66.55239,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,cnn_bilstm,120,66.55239,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,cnn_attention,120,66.55239,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,ensemble,120,66.55239,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,svm,150,86.53043,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,random_forest,150,86.53043,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,hist_gradient_boost,150,86.53043,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,cnn_bilstm,150,86.53043,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,cnn_attention,150,86.53043,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,ensemble,150,86.53043,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,svm,200,120.714431,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,random_forest,200,120.714431,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,hist_gradient_boost,200,120.714431,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,cnn_bilstm,200,120.714431,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,cnn_attention,200,120.714431,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,ensemble,200,120.714431,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,svm,300,188.551114,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,random_forest,300,188.551114,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,hist_gradient_boost,300,188.551114,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,cnn_bilstm,300,188.551114,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,cnn_attention,300,188.551114,1
2026-09-15,authorized/2026-09-15/20260915_155004_barath,barath,ensemble,300,188.551114,1
2026-09-15,authorized/2026-09-15/20260915_160607_anjali,anjali,svm,10,6.862345,1
2026-09-15,authorized/2026-09-15/20260915_160607_anjali,anjali,random_forest,10,6.862345,1
2026-09-15,authorized/2026-09-15/20260915_160607_anjali,anjali,hist_gradient_boost,10,6.862345,1
2026-09-15,authorized/2026-09-15/20260915_160607_anjali,anjali,cnn_bilstm,10,6.862345,1
2026-09-15,authorized/2026-09-15/20260915_160607_anjali,anjali,cnn_attention,10,6.862345,1
2026-09-15,authorized/2026-09-15/20260915_160607_anjali,anjali,ensemble,10,6.862345,1
2026-09-15,authorized/2026-09-15/20260915_160607_anjali,anjali,svm,30,21.095559,1
2026-09-15,authorized/2026-09-15/20260915_160607_anjali,anjali,random_forest,30,21.095559,1
2026-09-15,authorized/2026-09-15/20260915_160607_anjali,anjali,hist_gradient_boost,30,21.095559,1
2026-09-15,authorized/2026-09-15/20260915_160607_anjali,anjali,cnn_bilstm,30,21.095559,1
2026-09-15,authorized/2026-09-15/20260915_160607_anjali,anjali,cnn_attention,30,21.095559,1
2026-09-15,authorized/2026-09-15/20260915_160607_anjali,anjali,ensemble,30,21.095559,1
2026-09-15,authorized/2026-09-15/20260915_160607_anjali,anjali,svm,45,32.576226,1
2026-09-15,authorized/2026-09-15/20260915_160607_anjali,anjali,random_forest,45,32.576226,1
2026-09-15,authorized/2026-09-15/20260915_160607_anjali,anjali,hist_gradient_boost,45,32.576226,1
2026-09-15,authorized/2026-09-15/20260915_160607_anjali,anjali,cnn_bilstm,45,32.576226,1
2026-09-15,authorized/2026-09-15/20260915_160607_anjali,anjali,cnn_attention,45,32.576226,1
2026-09-15,authorized/2026-09-15/20260915_160607_anjali,anjali,ensemble,45,32.576226,1
2026-09-15,authorized/2026-09-15/20260915_160607_anjali,anjali,svm,60,42.933474,1
